"borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"181",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4971,45,NA,"A1","4026 ROMBOUTS AVENUE                     ","            ",10466,1,0,1,4203,1060,1930,1,"A1","$ 429,000","2016-02-18",429000,1060,4203,0
"182",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4971,45,NA,"A1","4026 ROMBOUTS AVE                        ","            ",10466,1,0,1,4203,1060,1930,1,"A1","$ 210,100","2015-08-13",210100,1060,4203,0
"185",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4980,80,NA,"A4","4041 EDSON AVENUE                        ","            ",10466,1,0,1,2500,1158,1920,1,"A4","$ 399,000","2015-08-13",399000,1158,2500,0
"186",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4981,68,NA,"A5","4053 BAYCHESTER AVENUE                   ","            ",10466,1,0,1,1500,2160,1965,1,"A5","$ 375,000","2016-03-28",375000,2160,1500,0
"187",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4983,90,NA,"A1","4019 WILDER AVENUE                       ","            ",10466,1,0,1,3555,928,1925,1,"A1","$ 395,000","2015-10-01",395000,928,3555,0
"188",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",4984,96,NA,"A5","2059 STRANG AVENUE                       ","            ",10466,1,0,1,2500,2295,2014,1,"A5","$ 525,000","2015-06-19",525000,2295,2500,0
"190",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",5134,41,NA,"A2","2338 PALMER AVENUE                       ","            ",10475,1,0,1,2375,1804,1934,1,"A2","$ 260,000","2015-10-26",260000,1804,2375,0
"191",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",5134,64,NA,"A2","2331 BOLLER AVENUE                       ","            ",10475,1,0,1,2961,1653,1925,1,"A2","$ 211,000","2015-06-16",211000,1653,2961,0
"193",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",5273,36,NA,"A2","3 REEDS MILL LANE                        ","            ",10475,1,0,1,5049,414,1931,1,"A2","$ 228,775","2015-08-11",228775,414,5049,0
"194",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",5653,98,NA,"A2","2578 FLINT AVENUE                        ","            ",10475,1,0,1,3772,560,1940,1,"A2","$ 415,000","2016-01-21",415000,560,3772,0
